
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.61      0.66      0.39      0.00      1.46    733.77      1.00
                    E0     11.63     11.82      8.36      0.05     25.83    100.88      1.00
                    H0      0.89      0.85      0.65      0.00      1.99    810.19      1.00
                    I0      4.18      5.46      2.43      0.01     10.48    130.05      1.00
                 beta0      2.01      0.88      2.07      0.79      3.31      5.76      1.00
  confirmed_dispersion      0.19      0.03      0.19      0.15      0.25    430.58      1.00
      death_dispersion      0.13      0.02      0.13      0.10      0.15    481.21      1.00
            death_prob      0.01      0.00      0.01      0.01      0.01     42.16      1.00
            death_rate      0.07      0.01      0.07      0.06      0.09     68.52      1.00
           det_prob[0]      0.24      0.06      0.24      0.14      0.34     64.20      1.00
           det_prob[1]      0.23      0.07      0.23      0.13      0.34     53.42      1.00
           det_prob[2]      0.22      0.07      0.22      0.12      0.33     48.73      1.00
           det_prob[3]      0.22      0.07      0.21      0.10      0.32     46.16      1.00
           det_prob[4]      0.21      0.07      0.20      0.09      0.31     40.69      1.00
           det_prob[5]      0.21      0.07      0.20      0.09      0.31     35.04      1.00
           det_prob[6]      0.20      0.08      0.19      0.10      0.32     33.94      1.00
           det_prob[7]      0.20      0.07      0.19      0.10      0.31     32.59      1.00
           det_prob[8]      0.20      0.07      0.19      0.09      0.30     29.18      1.00
           det_prob[9]      0.19      0.07      0.19      0.09      0.29     26.03      1.00
          det_prob[10]      0.19      0.06      0.18      0.10      0.28     27.42      1.00
          det_prob[11]      0.19      0.06      0.19      0.10      0.28     27.61      1.01
          det_prob[12]      0.18      0.06      0.17      0.09      0.27     29.15      1.01
          det_prob[13]      0.17      0.05      0.17      0.09      0.25     38.72      1.01
          det_prob[14]      0.16      0.05      0.16      0.09      0.24     40.85      1.01
          det_prob[15]      0.16      0.05      0.15      0.08      0.22     40.00      1.01
          det_prob[16]      0.15      0.04      0.14      0.08      0.22     52.51      1.01
          det_prob[17]      0.15      0.04      0.14      0.08      0.21     45.95      1.01
          det_prob[18]      0.14      0.04      0.13      0.08      0.20     48.27      1.02
          det_prob[19]      0.13      0.04      0.12      0.07      0.18     37.90      1.02
          det_prob[20]      0.12      0.03      0.11      0.07      0.18     39.41      1.03
          det_prob[21]      0.11      0.03      0.11      0.06      0.16     46.24      1.03
          det_prob[22]      0.11      0.03      0.10      0.06      0.16     52.20      1.04
          det_prob[23]      0.10      0.03      0.10      0.06      0.15     61.88      1.03
          det_prob[24]      0.10      0.03      0.09      0.05      0.15     62.38      1.03
          det_prob[25]      0.09      0.03      0.09      0.05      0.14     61.99      1.03
          det_prob[26]      0.09      0.03      0.08      0.05      0.13     61.73      1.03
          det_prob[27]      0.08      0.03      0.08      0.05      0.12     63.89      1.03
          det_prob[28]      0.08      0.02      0.07      0.04      0.11     71.62      1.03
          det_prob[29]      0.07      0.02      0.07      0.04      0.11     73.63      1.02
          det_prob[30]      0.07      0.02      0.07      0.04      0.10     62.35      1.02
          det_prob[31]      0.07      0.02      0.07      0.04      0.11     58.74      1.01
          det_prob[32]      0.07      0.02      0.06      0.04      0.10     58.89      1.01
          det_prob[33]      0.07      0.02      0.06      0.04      0.10     58.45      1.01
          det_prob[34]      0.06      0.02      0.06      0.03      0.09     60.93      1.01
          det_prob[35]      0.06      0.02      0.06      0.03      0.09     71.22      1.01
          det_prob[36]      0.06      0.02      0.06      0.04      0.09     77.84      1.01
          det_prob[37]      0.06      0.02      0.06      0.03      0.09     78.73      1.01
          det_prob[38]      0.06      0.02      0.06      0.03      0.09     79.56      1.00
          det_prob[39]      0.05      0.02      0.05      0.03      0.08     70.02      1.00
          det_prob[40]      0.05      0.02      0.05      0.03      0.08     78.35      1.00
          det_prob[41]      0.05      0.02      0.05      0.03      0.08     75.17      1.00
          det_prob[42]      0.05      0.02      0.05      0.03      0.08     79.70      1.00
          det_prob[43]      0.06      0.02      0.06      0.03      0.08     77.81      1.00
          det_prob[44]      0.06      0.02      0.06      0.03      0.09     72.54      1.01
          det_prob[45]      0.06      0.02      0.06      0.04      0.09     70.81      1.01
          det_prob[46]      0.06      0.02      0.06      0.03      0.09     64.78      1.01
          det_prob[47]      0.06      0.02      0.06      0.03      0.09     75.71      1.01
          det_prob[48]      0.07      0.02      0.07      0.04      0.10     75.23      1.00
          det_prob[49]      0.08      0.02      0.07      0.05      0.11     75.74      1.00
          det_prob[50]      0.09      0.02      0.08      0.05      0.12     64.28      1.00
          det_prob[51]      0.09      0.03      0.09      0.05      0.13     62.76      1.00
          det_prob[52]      0.10      0.03      0.10      0.06      0.15     64.92      1.00
          det_prob[53]      0.11      0.03      0.11      0.06      0.16     72.04      1.00
          det_prob[54]      0.13      0.04      0.12      0.08      0.19     76.87      1.01
          det_prob[55]      0.15      0.04      0.14      0.09      0.20     80.74      1.01
          det_prob[56]      0.16      0.04      0.16      0.10      0.22     88.46      1.01
          det_prob[57]      0.18      0.04      0.17      0.11      0.25     86.64      1.01
          det_prob[58]      0.19      0.05      0.18      0.12      0.27     78.04      1.02
          det_prob[59]      0.20      0.05      0.20      0.12      0.27     69.77      1.02
          det_prob[60]      0.22      0.05      0.21      0.15      0.31     69.53      1.02
          det_prob[61]      0.23      0.05      0.22      0.15      0.33     75.72      1.02
          det_prob[62]      0.24      0.06      0.24      0.15      0.34     80.23      1.02
          det_prob[63]      0.25      0.06      0.25      0.15      0.35     84.59      1.01
          det_prob[64]      0.26      0.06      0.26      0.17      0.37     84.91      1.01
          det_prob[65]      0.26      0.06      0.26      0.18      0.38     84.58      1.01
          det_prob[66]      0.26      0.07      0.26      0.17      0.39     84.93      1.00
          det_prob[67]      0.27      0.07      0.26      0.16      0.38     88.04      1.00
          det_prob[68]      0.27      0.07      0.27      0.16      0.37     86.96      1.00
          det_prob[69]      0.27      0.07      0.27      0.18      0.40     82.44      1.01
          det_prob[70]      0.28      0.07      0.27      0.15      0.38     80.02      1.01
          det_prob[71]      0.29      0.07      0.28      0.18      0.39     81.94      1.01
          det_prob[72]      0.29      0.07      0.29      0.18      0.40     78.61      1.01
