
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.71      0.84      0.46      0.00      1.66   1303.99      1.00
                    E0     21.16     21.07     15.46      0.03     45.87    302.49      1.00
                    H0      1.74      1.65      1.28      0.00      3.85   1035.95      1.00
                    I0     15.32     12.43     11.87      1.42     29.36     71.47      1.03
                 beta0      2.11      0.89      2.14      0.70      3.27      7.97      1.11
  confirmed_dispersion      0.11      0.01      0.11      0.10      0.12   1085.15      1.00
      death_dispersion      0.28      0.02      0.28      0.24      0.31    652.19      1.00
            death_prob      0.01      0.00      0.01      0.01      0.01     26.52      1.01
            death_rate      0.04      0.01      0.04      0.03      0.05     42.52      1.01
           det_prob[0]      0.21      0.06      0.20      0.12      0.29    127.65      1.00
           det_prob[1]      0.19      0.06      0.18      0.10      0.28    107.43      1.00
           det_prob[2]      0.17      0.06      0.16      0.09      0.27     95.73      1.00
           det_prob[3]      0.16      0.06      0.15      0.07      0.24     77.21      1.00
           det_prob[4]      0.15      0.06      0.14      0.07      0.23     68.72      1.00
           det_prob[5]      0.14      0.06      0.14      0.06      0.22     49.21      1.00
           det_prob[6]      0.14      0.05      0.13      0.06      0.21     47.56      1.00
           det_prob[7]      0.13      0.05      0.12      0.06      0.20     42.92      1.00
           det_prob[8]      0.12      0.04      0.11      0.05      0.18     42.48      1.00
           det_prob[9]      0.11      0.04      0.11      0.05      0.17     37.47      1.00
          det_prob[10]      0.10      0.04      0.10      0.04      0.15     45.06      1.00
          det_prob[11]      0.10      0.04      0.10      0.05      0.15     49.06      1.00
          det_prob[12]      0.11      0.03      0.11      0.06      0.16     53.78      1.00
          det_prob[13]      0.12      0.03      0.11      0.06      0.17     72.20      1.00
          det_prob[14]      0.11      0.03      0.11      0.06      0.16     84.37      1.00
          det_prob[15]      0.11      0.03      0.11      0.06      0.16     91.82      1.00
          det_prob[16]      0.10      0.03      0.10      0.06      0.15    102.86      1.00
          det_prob[17]      0.10      0.03      0.10      0.06      0.14    104.10      1.00
          det_prob[18]      0.09      0.03      0.09      0.05      0.13    106.98      1.01
          det_prob[19]      0.09      0.02      0.09      0.05      0.12     82.30      1.01
          det_prob[20]      0.09      0.02      0.08      0.05      0.12     82.86      1.01
          det_prob[21]      0.09      0.02      0.08      0.05      0.12     85.46      1.01
          det_prob[22]      0.08      0.02      0.08      0.05      0.12     99.45      1.01
          det_prob[23]      0.08      0.02      0.08      0.05      0.12    102.61      1.01
          det_prob[24]      0.09      0.02      0.08      0.05      0.12     94.52      1.01
          det_prob[25]      0.08      0.02      0.08      0.05      0.12    109.01      1.01
          det_prob[26]      0.08      0.02      0.08      0.05      0.12     98.51      1.01
          det_prob[27]      0.08      0.02      0.08      0.05      0.12    106.51      1.01
          det_prob[28]      0.08      0.02      0.08      0.05      0.12    114.03      1.01
          det_prob[29]      0.09      0.02      0.09      0.05      0.12    120.50      1.01
          det_prob[30]      0.09      0.02      0.09      0.06      0.13    113.22      1.01
          det_prob[31]      0.09      0.02      0.09      0.06      0.13    107.56      1.01
          det_prob[32]      0.10      0.03      0.09      0.05      0.13     88.27      1.01
          det_prob[33]      0.10      0.03      0.10      0.05      0.14     90.35      1.01
          det_prob[34]      0.11      0.03      0.10      0.06      0.15     86.69      1.01
          det_prob[35]      0.11      0.03      0.11      0.06      0.16     95.30      1.01
          det_prob[36]      0.12      0.03      0.11      0.07      0.16    100.16      1.01
          det_prob[37]      0.12      0.03      0.12      0.06      0.16     88.00      1.00
          det_prob[38]      0.12      0.03      0.12      0.07      0.17     91.45      1.00
          det_prob[39]      0.12      0.03      0.12      0.07      0.18     91.64      1.00
          det_prob[40]      0.13      0.04      0.12      0.07      0.18     80.03      1.00
          det_prob[41]      0.13      0.04      0.13      0.08      0.19     76.46      1.00
          det_prob[42]      0.14      0.04      0.13      0.09      0.20     69.16      1.00
          det_prob[43]      0.15      0.04      0.14      0.08      0.21     88.77      1.00
          det_prob[44]      0.15      0.04      0.14      0.08      0.21     72.29      1.00
          det_prob[45]      0.15      0.04      0.15      0.08      0.21     91.87      1.00
