
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      2.37     19.08      0.73      0.00      3.48    686.93      1.00
                    E0      7.44      8.09      5.12      0.02     16.71     80.92      1.00
                    H0      0.98      0.92      0.73      0.00      2.25   1163.32      1.00
                    I0      2.94      3.90      1.72      0.01      6.77     51.18      1.01
                 beta0      2.01      0.99      2.01      0.63      3.39      6.44      1.03
  confirmed_dispersion      0.12      0.01      0.11      0.10      0.14    921.02      1.00
      death_dispersion      0.71      0.05      0.71      0.63      0.80   1595.61      1.00
            death_prob      0.01      0.00      0.01      0.01      0.02     20.13      1.02
            death_rate      0.06      0.01      0.06      0.04      0.08     41.72      1.07
           det_prob[0]      0.25      0.06      0.24      0.15      0.35    160.36      1.01
           det_prob[1]      0.24      0.07      0.23      0.13      0.35    138.55      1.01
           det_prob[2]      0.23      0.07      0.22      0.12      0.35    132.46      1.01
           det_prob[3]      0.23      0.08      0.22      0.10      0.34    128.67      1.01
           det_prob[4]      0.22      0.08      0.21      0.12      0.35    113.04      1.02
           det_prob[5]      0.22      0.08      0.21      0.10      0.34     86.12      1.02
           det_prob[6]      0.22      0.08      0.21      0.10      0.34     76.44      1.02
           det_prob[7]      0.22      0.08      0.21      0.10      0.35     48.15      1.03
           det_prob[8]      0.22      0.08      0.21      0.10      0.34     38.19      1.03
           det_prob[9]      0.22      0.08      0.21      0.10      0.34     32.69      1.03
          det_prob[10]      0.22      0.08      0.21      0.09      0.33     28.52      1.04
          det_prob[11]      0.21      0.08      0.20      0.09      0.32     28.34      1.04
          det_prob[12]      0.20      0.07      0.19      0.09      0.31     27.66      1.04
          det_prob[13]      0.19      0.07      0.18      0.08      0.30     31.31      1.05
          det_prob[14]      0.19      0.07      0.18      0.09      0.30     27.25      1.06
          det_prob[15]      0.18      0.06      0.17      0.08      0.28     27.40      1.06
          det_prob[16]      0.17      0.06      0.16      0.08      0.27     26.50      1.06
          det_prob[17]      0.16      0.06      0.15      0.07      0.25     28.82      1.07
          det_prob[18]      0.16      0.06      0.16      0.08      0.26     25.47      1.07
          det_prob[19]      0.16      0.06      0.16      0.07      0.24     26.51      1.08
          det_prob[20]      0.17      0.06      0.16      0.08      0.26     26.25      1.09
          det_prob[21]      0.16      0.05      0.15      0.07      0.24     29.55      1.08
          det_prob[22]      0.15      0.05      0.14      0.06      0.22     32.92      1.07
          det_prob[23]      0.14      0.05      0.13      0.06      0.22     32.90      1.08
          det_prob[24]      0.13      0.05      0.12      0.06      0.21     28.71      1.08
          det_prob[25]      0.13      0.05      0.12      0.05      0.20     34.23      1.08
          det_prob[26]      0.13      0.05      0.12      0.06      0.20     34.03      1.07
          det_prob[27]      0.13      0.05      0.12      0.05      0.20     36.60      1.07
          det_prob[28]      0.14      0.05      0.14      0.07      0.22     37.26      1.06
          det_prob[29]      0.15      0.05      0.14      0.07      0.23     37.45      1.06
          det_prob[30]      0.15      0.05      0.14      0.07      0.24     24.55      1.07
          det_prob[31]      0.16      0.06      0.15      0.07      0.25     26.78      1.07
          det_prob[32]      0.17      0.06      0.16      0.08      0.27     23.87      1.07
          det_prob[33]      0.18      0.06      0.17      0.08      0.27     24.60      1.07
          det_prob[34]      0.19      0.06      0.19      0.09      0.29     24.14      1.07
          det_prob[35]      0.20      0.06      0.19      0.10      0.30     24.53      1.06
          det_prob[36]      0.20      0.07      0.19      0.09      0.30     26.89      1.05
          det_prob[37]      0.20      0.07      0.19      0.09      0.30     26.00      1.06
          det_prob[38]      0.21      0.07      0.20      0.11      0.31     27.25      1.04
          det_prob[39]      0.20      0.07      0.19      0.10      0.31     29.14      1.04
          det_prob[40]      0.20      0.07      0.19      0.09      0.30     28.96      1.02
          det_prob[41]      0.20      0.07      0.19      0.09      0.30     30.77      1.02
          det_prob[42]      0.19      0.07      0.18      0.08      0.30     28.93      1.01
          det_prob[43]      0.19      0.07      0.19      0.07      0.29     31.47      1.01
          det_prob[44]      0.20      0.07      0.19      0.10      0.31     32.78      1.01
          det_prob[45]      0.21      0.07      0.20      0.10      0.31     33.14      1.01
          det_prob[46]      0.21      0.07      0.20      0.10      0.31     31.99      1.00
          det_prob[47]      0.22      0.07      0.21      0.11      0.32     31.65      1.00
          det_prob[48]      0.22      0.07      0.21      0.13      0.33     33.38      1.00
          det_prob[49]      0.22      0.07      0.21      0.12      0.32     36.08      1.00
          det_prob[50]      0.22      0.07      0.21      0.12      0.33     37.82      1.00
          det_prob[51]      0.22      0.07      0.21      0.12      0.33     40.64      1.00
          det_prob[52]      0.22      0.07      0.21      0.11      0.32     40.24      1.00
          det_prob[53]      0.22      0.07      0.21      0.11      0.32     43.78      1.00
          det_prob[54]      0.22      0.07      0.21      0.12      0.33     46.83      1.00
          det_prob[55]      0.23      0.07      0.22      0.11      0.33     57.32      1.00
          det_prob[56]      0.24      0.07      0.23      0.13      0.35     68.87      1.00
          det_prob[57]      0.25      0.07      0.24      0.13      0.36     70.86      1.00
          det_prob[58]      0.26      0.07      0.25      0.14      0.37     69.79      1.01
          det_prob[59]      0.28      0.08      0.27      0.16      0.40     70.47      1.01
          det_prob[60]      0.29      0.08      0.28      0.16      0.41     73.92      1.01
          det_prob[61]      0.30      0.08      0.29      0.17      0.42     79.36      1.00
          det_prob[62]      0.31      0.08      0.31      0.19      0.46     78.24      1.00
          det_prob[63]      0.33      0.09      0.32      0.20      0.48     77.26      1.00
          det_prob[64]      0.33      0.09      0.32      0.20      0.49     78.45      1.00
          det_prob[65]      0.34      0.09      0.33      0.21      0.51     77.26      1.00
          det_prob[66]      0.35      0.09      0.34      0.20      0.50     74.59      1.00
          det_prob[67]      0.36      0.10      0.35      0.21      0.52     75.99      1.00
          det_prob[68]      0.37      0.10      0.36      0.21      0.53     76.27      1.00
          det_prob[69]      0.38      0.10      0.37      0.23      0.54     76.15      1.00
