
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      1.24      5.16      0.51      0.00      2.45    550.07      1.00
                    E0      6.23      7.11      3.97      0.00     14.47     64.08      1.03
                    H0      5.08      3.92      4.38      0.01     10.56      5.96      1.46
                    I0      3.46      4.67      1.91      0.00      8.73    109.03      1.02
                 beta0      1.27      0.69      1.30      0.33      2.18      5.70      1.00
  confirmed_dispersion      0.13      0.02      0.13      0.10      0.16    620.86      1.00
      death_dispersion      0.51      0.12      0.51      0.31      0.70    368.14      1.00
            death_prob      0.01      0.00      0.01      0.01      0.01     61.46      1.07
            death_rate      0.04      0.02      0.04      0.02      0.07     14.16      1.24
           det_prob[0]      0.27      0.08      0.26      0.14      0.39     11.93      1.21
           det_prob[1]      0.26      0.09      0.26      0.11      0.40      9.50      1.27
           det_prob[2]      0.26      0.10      0.25      0.11      0.41      8.72      1.30
           det_prob[3]      0.26      0.11      0.25      0.08      0.41      7.83      1.33
           det_prob[4]      0.26      0.12      0.25      0.08      0.43      6.84      1.39
           det_prob[5]      0.26      0.13      0.25      0.07      0.44      6.24      1.42
           det_prob[6]      0.26      0.13      0.24      0.08      0.48      5.68      1.47
           det_prob[7]      0.27      0.14      0.25      0.07      0.48      5.26      1.51
           det_prob[8]      0.27      0.15      0.25      0.06      0.48      4.86      1.56
           det_prob[9]      0.28      0.15      0.25      0.06      0.50      4.55      1.61
          det_prob[10]      0.28      0.16      0.25      0.06      0.52      4.27      1.65
          det_prob[11]      0.30      0.17      0.26      0.06      0.55      4.08      1.71
          det_prob[12]      0.31      0.18      0.27      0.06      0.57      3.97      1.73
          det_prob[13]      0.33      0.19      0.28      0.07      0.60      3.85      1.77
          det_prob[14]      0.34      0.19      0.29      0.07      0.63      3.74      1.81
          det_prob[15]      0.35      0.20      0.30      0.08      0.65      3.66      1.85
          det_prob[16]      0.37      0.21      0.32      0.09      0.69      3.65      1.86
          det_prob[17]      0.39      0.21      0.34      0.10      0.71      3.57      1.91
          det_prob[18]      0.40      0.22      0.34      0.12      0.75      3.56      1.93
          det_prob[19]      0.41      0.23      0.35      0.12      0.76      3.58      1.92
          det_prob[20]      0.42      0.23      0.37      0.13      0.79      3.55      1.96
          det_prob[21]      0.44      0.23      0.39      0.15      0.81      3.58      1.94
          det_prob[22]      0.45      0.23      0.39      0.14      0.81      3.60      1.94
          det_prob[23]      0.47      0.23      0.40      0.17      0.84      3.58      1.94
          det_prob[24]      0.48      0.24      0.42      0.18      0.85      3.56      1.95
          det_prob[25]      0.48      0.24      0.44      0.17      0.85      3.60      1.95
          det_prob[26]      0.49      0.24      0.45      0.19      0.87      3.65      1.92
          det_prob[27]      0.50      0.24      0.48      0.19      0.86      3.68      1.93
          det_prob[28]      0.51      0.23      0.50      0.19      0.86      3.75      1.89
          det_prob[29]      0.53      0.23      0.52      0.21      0.87      3.80      1.88
          det_prob[30]      0.54      0.23      0.53      0.24      0.90      3.86      1.87
          det_prob[31]      0.56      0.23      0.56      0.25      0.89      3.95      1.84
          det_prob[32]      0.57      0.22      0.58      0.28      0.91      4.08      1.81
          det_prob[33]      0.59      0.21      0.61      0.31      0.92      4.22      1.78
          det_prob[34]      0.61      0.21      0.63      0.33      0.93      4.42      1.75
          det_prob[35]      0.62      0.20      0.64      0.34      0.92      4.69      1.71
          det_prob[36]      0.63      0.20      0.66      0.35      0.92      4.95      1.66
          det_prob[37]      0.65      0.20      0.68      0.38      0.93      5.15      1.65
          det_prob[38]      0.66      0.19      0.69      0.39      0.94      5.31      1.63
          det_prob[39]      0.66      0.19      0.70      0.39      0.93      5.79      1.58
          det_prob[40]      0.67      0.19      0.71      0.41      0.94      6.20      1.53
          det_prob[41]      0.68      0.18      0.71      0.42      0.94      6.54      1.50
          det_prob[42]      0.69      0.18      0.72      0.42      0.94      6.75      1.49
          det_prob[43]      0.69      0.18      0.73      0.44      0.95      7.03      1.45
          det_prob[44]      0.70      0.17      0.73      0.44      0.95      7.28      1.43
          det_prob[45]      0.70      0.17      0.74      0.44      0.94      7.78      1.40
          det_prob[46]      0.71      0.17      0.74      0.45      0.95      7.89      1.39
          det_prob[47]      0.71      0.17      0.74      0.46      0.95      8.31      1.37
          det_prob[48]      0.72      0.17      0.75      0.46      0.97      8.74      1.36
          det_prob[49]      0.72      0.17      0.75      0.47      0.97      9.56      1.33
          det_prob[50]      0.72      0.16      0.76      0.47      0.97      9.93      1.32
          det_prob[51]      0.73      0.16      0.75      0.48      0.97     10.23      1.30
          det_prob[52]      0.74      0.15      0.76      0.50      0.96     11.20      1.27
          det_prob[53]      0.74      0.15      0.76      0.52      0.96     11.94      1.25
          det_prob[54]      0.75      0.15      0.77      0.54      0.98     12.17      1.25
          det_prob[55]      0.76      0.14      0.78      0.55      0.98     12.94      1.23
          det_prob[56]      0.76      0.14      0.78      0.58      0.98     13.75      1.20
          det_prob[57]      0.77      0.14      0.79      0.57      0.98     14.58      1.19
          det_prob[58]      0.77      0.14      0.79      0.57      0.98     14.97      1.18
          det_prob[59]      0.77      0.13      0.79      0.55      0.95     15.54      1.18
          det_prob[60]      0.77      0.13      0.79      0.59      0.97     15.99      1.17
          det_prob[61]      0.78      0.13      0.80      0.59      0.97     17.12      1.15
          det_prob[62]      0.78      0.13      0.80      0.59      0.97     17.82      1.15
          det_prob[63]      0.78      0.13      0.80      0.60      0.97     18.65      1.14
          det_prob[64]      0.79      0.13      0.80      0.59      0.96     19.13      1.13
          det_prob[65]      0.79      0.12      0.81      0.61      0.97     19.05      1.13
          det_prob[66]      0.79      0.12      0.82      0.59      0.96     20.55      1.13
          det_prob[67]      0.80      0.12      0.81      0.60      0.96     21.50      1.11
          det_prob[68]      0.80      0.12      0.82      0.62      0.97     22.17      1.11
          det_prob[69]      0.80      0.12      0.82      0.63      0.97     21.60      1.11
          det_prob[70]      0.81      0.11      0.83      0.64      0.97     21.77      1.12
          det_prob[71]      0.81      0.11      0.83      0.65      0.96     22.62      1.11
          det_prob[72]      0.82      0.11      0.84      0.66      0.97     22.18      1.11
          det_prob[73]      0.82      0.11      0.84      0.65      0.96     22.89      1.10
          det_prob[74]      0.82      0.11      0.84      0.65      0.97     23.16      1.10
          det_prob[75]      0.82      0.11      0.84      0.66      0.97     22.98      1.11
          det_prob[76]      0.82      0.11      0.84      0.66      0.97     23.81      1.11
          det_prob[77]      0.82      0.11      0.84      0.66      0.97     23.40      1.10
          det_prob[78]      0.82      0.12      0.85      0.64      0.97     24.63      1.10
          det_prob[79]      0.82      0.12      0.85      0.66      0.98     24.36      1.09
          det_prob[80]      0.83      0.12      0.86      0.66      0.98     25.80      1.09
          det_prob[81]      0.83      0.12      0.86      0.66      0.97     24.94      1.09
          det_prob[82]      0.84      0.11      0.86      0.68      0.98     24.17      1.09
          det_prob[83]      0.84      0.11      0.87      0.70      0.98     23.84      1.09
          det_prob[84]      0.85      0.10      0.87      0.70      0.98     24.62      1.09
          det_prob[85]      0.85      0.10      0.88      0.71      0.98     25.42      1.09
          det_prob[86]      0.86      0.10      0.88      0.72      0.99     25.70      1.09
          det_prob[87]      0.86      0.09      0.89      0.73      0.99     25.52      1.10
          det_prob[88]      0.87      0.09      0.89      0.74      0.98     25.95      1.10
          det_prob[89]      0.87      0.09      0.89      0.74      0.99     25.95      1.10
          det_prob[90]      0.87      0.09      0.90      0.74      0.99     26.52      1.10
          det_prob[91]      0.88      0.09      0.90      0.75      0.99     27.08      1.10
          det_prob[92]      0.88      0.09      0.90      0.75      0.99     28.58      1.09
          det_prob[93]      0.88      0.09      0.90      0.75      0.99     29.90      1.09
          det_prob[94]      0.88      0.09      0.91      0.75      0.99     28.34      1.10
          det_prob[95]      0.88      0.09      0.91      0.75      0.99     28.28      1.10
          det_prob[96]      0.89      0.09      0.91      0.75      0.99     28.50      1.09
          det_prob[97]      0.89      0.09      0.92      0.77      0.99     29.45      1.09
          det_prob[98]      0.89      0.09      0.92      0.77      0.99     29.55      1.09
          det_prob[99]      0.89      0.09      0.92      0.76      0.99     30.42      1.08
         det_prob[100]      0.90      0.09      0.92      0.78      0.99     29.66      1.08
         det_prob[101]      0.90      0.09      0.92      0.78      1.00     29.88      1.07
