
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.72      0.84      0.44      0.00      1.71    948.08      1.00
                    E0     11.18     12.84      7.20      0.03     25.30    143.39      1.00
                    H0      2.15      2.00      1.64      0.01      4.73    536.17      1.01
                    I0      4.56      6.81      2.46      0.02     10.43    107.72      1.01
                 beta0      1.99      0.92      2.01      0.62      3.20      6.48      1.03
  confirmed_dispersion      0.26      0.04      0.25      0.19      0.32    549.30      1.00
      death_dispersion      0.28      0.03      0.28      0.23      0.33    557.05      1.00
            death_prob      0.01      0.00      0.01      0.01      0.02     13.67      1.04
            death_rate      0.06      0.01      0.05      0.03      0.08     21.89      1.12
           det_prob[0]      0.20      0.06      0.19      0.11      0.29     79.15      1.01
           det_prob[1]      0.18      0.06      0.17      0.09      0.26     80.57      1.01
           det_prob[2]      0.16      0.06      0.15      0.07      0.25     82.16      1.01
           det_prob[3]      0.15      0.06      0.14      0.07      0.23     67.11      1.00
           det_prob[4]      0.13      0.06      0.12      0.05      0.21     62.60      1.01
           det_prob[5]      0.12      0.05      0.11      0.04      0.20     53.16      1.01
           det_prob[6]      0.11      0.05      0.10      0.05      0.18     52.23      1.01
           det_prob[7]      0.11      0.05      0.10      0.04      0.17     47.55      1.01
           det_prob[8]      0.10      0.04      0.09      0.04      0.16     41.11      1.01
           det_prob[9]      0.09      0.04      0.09      0.03      0.15     34.86      1.01
          det_prob[10]      0.09      0.04      0.08      0.04      0.15     34.05      1.01
          det_prob[11]      0.09      0.04      0.08      0.03      0.14     34.07      1.02
          det_prob[12]      0.09      0.04      0.09      0.04      0.14     34.19      1.02
          det_prob[13]      0.09      0.03      0.09      0.04      0.14     34.55      1.02
          det_prob[14]      0.10      0.04      0.09      0.04      0.15     38.81      1.02
          det_prob[15]      0.10      0.04      0.10      0.04      0.15     40.53      1.02
          det_prob[16]      0.10      0.03      0.10      0.05      0.15     39.59      1.03
          det_prob[17]      0.11      0.03      0.10      0.05      0.16     42.34      1.03
          det_prob[18]      0.11      0.04      0.11      0.06      0.17     46.27      1.05
          det_prob[19]      0.11      0.04      0.11      0.05      0.16     35.73      1.05
          det_prob[20]      0.12      0.04      0.11      0.06      0.17     32.99      1.05
          det_prob[21]      0.12      0.04      0.11      0.06      0.17     41.78      1.05
          det_prob[22]      0.12      0.04      0.11      0.06      0.17     50.05      1.05
          det_prob[23]      0.11      0.04      0.11      0.06      0.17     51.41      1.05
          det_prob[24]      0.11      0.04      0.11      0.06      0.17     47.88      1.05
          det_prob[25]      0.12      0.04      0.11      0.06      0.18     52.07      1.06
          det_prob[26]      0.12      0.04      0.11      0.06      0.18     55.24      1.05
          det_prob[27]      0.12      0.04      0.11      0.05      0.17     58.99      1.05
          det_prob[28]      0.11      0.04      0.11      0.06      0.17     60.22      1.04
          det_prob[29]      0.11      0.04      0.11      0.05      0.17     54.04      1.04
          det_prob[30]      0.12      0.04      0.11      0.06      0.18     49.68      1.04
          det_prob[31]      0.12      0.04      0.11      0.06      0.18     48.17      1.03
          det_prob[32]      0.12      0.04      0.12      0.06      0.19     43.41      1.02
          det_prob[33]      0.12      0.04      0.12      0.06      0.18     45.39      1.03
          det_prob[34]      0.12      0.04      0.12      0.06      0.18     43.45      1.01
          det_prob[35]      0.13      0.04      0.12      0.06      0.19     46.87      1.01
          det_prob[36]      0.13      0.04      0.12      0.06      0.19     46.61      1.00
          det_prob[37]      0.13      0.04      0.12      0.06      0.19     41.86      1.00
          det_prob[38]      0.12      0.04      0.12      0.06      0.19     40.45      1.00
          det_prob[39]      0.13      0.04      0.12      0.06      0.19     39.74      1.00
          det_prob[40]      0.13      0.04      0.12      0.06      0.20     35.10      1.00
          det_prob[41]      0.13      0.05      0.12      0.07      0.20     31.80      1.00
          det_prob[42]      0.14      0.05      0.13      0.07      0.21     26.92      1.01
          det_prob[43]      0.14      0.05      0.13      0.07      0.21     26.35      1.02
          det_prob[44]      0.14      0.05      0.13      0.07      0.21     24.45      1.03
          det_prob[45]      0.15      0.05      0.13      0.07      0.23     24.54      1.03
          det_prob[46]      0.15      0.06      0.14      0.07      0.23     22.93      1.04
          det_prob[47]      0.16      0.06      0.14      0.07      0.24     21.83      1.05
          det_prob[48]      0.16      0.06      0.15      0.08      0.25     23.26      1.04
          det_prob[49]      0.17      0.06      0.16      0.09      0.26     22.69      1.05
          det_prob[50]      0.18      0.07      0.16      0.08      0.27     22.18      1.05
          det_prob[51]      0.18      0.07      0.17      0.09      0.29     21.82      1.06
          det_prob[52]      0.19      0.07      0.17      0.08      0.29     20.78      1.06
          det_prob[53]      0.20      0.08      0.18      0.08      0.31     19.56      1.07
          det_prob[54]      0.21      0.08      0.19      0.09      0.32     19.05      1.09
          det_prob[55]      0.22      0.08      0.21      0.10      0.33     17.88      1.10
          det_prob[56]      0.23      0.09      0.21      0.09      0.35     16.86      1.10
          det_prob[57]      0.25      0.09      0.23      0.11      0.38     16.66      1.11
          det_prob[58]      0.26      0.09      0.25      0.13      0.40     15.48      1.13
          det_prob[59]      0.28      0.09      0.27      0.14      0.42     14.99      1.13
          det_prob[60]      0.29      0.10      0.28      0.14      0.44     16.01      1.12
          det_prob[61]      0.30      0.10      0.29      0.15      0.45     15.73      1.13
          det_prob[62]      0.31      0.10      0.29      0.15      0.46     17.38      1.12
          det_prob[63]      0.31      0.10      0.30      0.16      0.48     16.90      1.11
          det_prob[64]      0.32      0.11      0.30      0.16      0.49     17.67      1.11
          det_prob[65]      0.32      0.11      0.30      0.15      0.50     17.12      1.11
          det_prob[66]      0.33      0.11      0.31      0.15      0.50     18.03      1.10
          det_prob[67]      0.34      0.11      0.32      0.17      0.52     16.93      1.10
          det_prob[68]      0.35      0.11      0.33      0.16      0.53     18.45      1.09
          det_prob[69]      0.36      0.11      0.35      0.18      0.55     18.00      1.10
          det_prob[70]      0.37      0.11      0.36      0.20      0.58     17.35      1.10
          det_prob[71]      0.38      0.11      0.38      0.20      0.57     16.62      1.10
          det_prob[72]      0.39      0.11      0.38      0.21      0.58     18.39      1.09
          det_prob[73]      0.40      0.12      0.39      0.21      0.58     20.42      1.08
          det_prob[74]      0.41      0.12      0.40      0.23      0.60     20.83      1.08
          det_prob[75]      0.41      0.12      0.40      0.21      0.59     21.88      1.07
          det_prob[76]      0.42      0.12      0.41      0.22      0.60     23.97      1.07
          det_prob[77]      0.43      0.12      0.42      0.24      0.63     24.97      1.06
          det_prob[78]      0.44      0.12      0.42      0.23      0.61     26.72      1.05
          det_prob[79]      0.44      0.12      0.43      0.25      0.65     26.80      1.04
          det_prob[80]      0.45      0.12      0.43      0.23      0.63     29.70      1.04
          det_prob[81]      0.45      0.12      0.43      0.24      0.65     30.64      1.04
