
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.60      0.67      0.37      0.00      1.41    569.09      1.00
                    E0      3.34      3.87      2.07      0.01      8.01    125.40      1.00
                    H0      1.05      1.02      0.76      0.01      2.29    238.46      1.00
                    I0      1.55      2.21      0.77      0.00      4.14    103.23      1.01
                 beta0      2.33      0.85      2.43      0.98      3.53      5.70      1.00
  confirmed_dispersion      0.23      0.04      0.23      0.17      0.29    259.69      1.00
      death_dispersion      0.12      0.01      0.11      0.10      0.13    569.33      1.00
            death_prob      0.01      0.00      0.01      0.01      0.01     13.91      1.05
            death_rate      0.06      0.02      0.06      0.04      0.09     33.38      1.03
           det_prob[0]      0.24      0.06      0.24      0.15      0.35     39.22      1.02
           det_prob[1]      0.23      0.07      0.22      0.12      0.33     32.95      1.02
           det_prob[2]      0.22      0.07      0.21      0.11      0.33     30.57      1.02
           det_prob[3]      0.21      0.07      0.20      0.09      0.32     28.63      1.02
           det_prob[4]      0.20      0.08      0.19      0.08      0.31     25.43      1.02
           det_prob[5]      0.19      0.08      0.18      0.08      0.30     22.94      1.03
           det_prob[6]      0.18      0.08      0.17      0.08      0.30     23.30      1.03
           det_prob[7]      0.18      0.07      0.17      0.07      0.29     22.47      1.04
           det_prob[8]      0.18      0.07      0.17      0.08      0.29     20.81      1.05
           det_prob[9]      0.17      0.07      0.16      0.07      0.27     19.56      1.05
          det_prob[10]      0.17      0.07      0.17      0.07      0.27     19.03      1.07
          det_prob[11]      0.18      0.06      0.17      0.07      0.27     18.60      1.09
          det_prob[12]      0.19      0.06      0.18      0.07      0.27     16.19      1.10
          det_prob[13]      0.20      0.07      0.19      0.10      0.30     14.58      1.12
          det_prob[14]      0.23      0.07      0.22      0.12      0.33     13.25      1.14
          det_prob[15]      0.23      0.07      0.23      0.12      0.34     13.96      1.14
          det_prob[16]      0.23      0.07      0.22      0.12      0.33     14.20      1.17
          det_prob[17]      0.23      0.07      0.22      0.12      0.33     13.91      1.17
          det_prob[18]      0.22      0.07      0.21      0.11      0.33     13.11      1.20
          det_prob[19]      0.22      0.07      0.21      0.10      0.33     12.69      1.21
          det_prob[20]      0.22      0.07      0.21      0.11      0.34     12.55      1.23
          det_prob[21]      0.22      0.07      0.21      0.11      0.35     13.14      1.22
          det_prob[22]      0.22      0.08      0.21      0.10      0.34     12.65      1.24
          det_prob[23]      0.22      0.08      0.20      0.10      0.34     13.57      1.22
          det_prob[24]      0.22      0.08      0.20      0.09      0.34     13.39      1.22
          det_prob[25]      0.23      0.09      0.21      0.10      0.36     13.55      1.22
          det_prob[26]      0.23      0.09      0.22      0.10      0.37     13.98      1.22
          det_prob[27]      0.24      0.09      0.23      0.11      0.38     12.72      1.22
          det_prob[28]      0.25      0.09      0.23      0.12      0.39     13.61      1.21
          det_prob[29]      0.26      0.09      0.24      0.12      0.39     13.65      1.19
          det_prob[30]      0.27      0.09      0.25      0.13      0.42     13.53      1.19
          det_prob[31]      0.28      0.09      0.26      0.14      0.43     13.30      1.18
          det_prob[32]      0.29      0.10      0.27      0.15      0.45     14.07      1.15
          det_prob[33]      0.30      0.10      0.29      0.16      0.47     14.11      1.16
          det_prob[34]      0.31      0.10      0.30      0.15      0.47     14.75      1.13
          det_prob[35]      0.33      0.10      0.31      0.17      0.49     15.75      1.12
