
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.80      1.08      0.47      0.00      1.87    209.78      1.01
                    E0    146.84     79.46    136.11     13.32    259.16     43.96      1.01
                    H0      1.14      1.15      0.85      0.00      2.63    618.68      1.00
                    I0     33.80     28.95     26.38      3.77     66.64    191.99      1.00
                 beta0      1.20      0.56      1.07      0.44      1.93     20.85      1.03
  confirmed_dispersion      0.17      0.03      0.16      0.12      0.21    792.86      1.00
      death_dispersion      0.26      0.02      0.26      0.22      0.29   1116.54      1.00
            death_prob      0.02      0.01      0.02      0.01      0.03      9.62      1.18
            death_rate      0.04      0.00      0.04      0.04      0.05     76.97      1.02
           det_prob[0]      0.35      0.07      0.34      0.23      0.46     53.00      1.05
           det_prob[1]      0.36      0.08      0.36      0.23      0.50     39.80      1.06
           det_prob[2]      0.38      0.09      0.38      0.24      0.53     37.45      1.08
           det_prob[3]      0.37      0.10      0.37      0.22      0.53     33.01      1.10
           det_prob[4]      0.37      0.10      0.36      0.20      0.53     30.33      1.11
           det_prob[5]      0.36      0.11      0.36      0.20      0.54     23.08      1.14
           det_prob[6]      0.37      0.11      0.37      0.19      0.54     19.37      1.17
           det_prob[7]      0.37      0.11      0.37      0.18      0.56     16.18      1.20
           det_prob[8]      0.38      0.12      0.38      0.18      0.57     15.27      1.21
           det_prob[9]      0.39      0.12      0.39      0.18      0.58     16.59      1.19
          det_prob[10]      0.39      0.12      0.38      0.18      0.58     14.95      1.19
          det_prob[11]      0.39      0.12      0.39      0.18      0.59     14.28      1.20
          det_prob[12]      0.39      0.12      0.39      0.18      0.58     14.14      1.19
          det_prob[13]      0.38      0.12      0.38      0.16      0.56     13.47      1.20
          det_prob[14]      0.36      0.13      0.36      0.13      0.53     14.13      1.19
          det_prob[15]      0.34      0.12      0.34      0.12      0.52     13.35      1.20
          det_prob[16]      0.32      0.12      0.32      0.13      0.52     12.84      1.21
          det_prob[17]      0.30      0.12      0.30      0.09      0.47     12.87      1.19
          det_prob[18]      0.29      0.11      0.28      0.09      0.45     12.58      1.19
          det_prob[19]      0.28      0.11      0.27      0.09      0.44     12.11      1.17
          det_prob[20]      0.26      0.11      0.25      0.07      0.41     12.67      1.16
          det_prob[21]      0.24      0.10      0.23      0.07      0.38     12.46      1.16
          det_prob[22]      0.22      0.09      0.21      0.07      0.37     12.74      1.16
          det_prob[23]      0.20      0.09      0.19      0.06      0.33     13.09      1.17
          det_prob[24]      0.19      0.08      0.18      0.06      0.32     13.42      1.16
          det_prob[25]      0.18      0.08      0.17      0.05      0.30     14.36      1.14
          det_prob[26]      0.17      0.08      0.16      0.05      0.28     14.72      1.13
          det_prob[27]      0.16      0.07      0.16      0.05      0.28     13.79      1.15
          det_prob[28]      0.15      0.07      0.15      0.04      0.26     13.88      1.14
          det_prob[29]      0.15      0.07      0.14      0.04      0.24     13.06      1.15
          det_prob[30]      0.14      0.06      0.13      0.04      0.23     14.11      1.13
          det_prob[31]      0.14      0.06      0.13      0.04      0.23     15.29      1.13
          det_prob[32]      0.14      0.06      0.13      0.04      0.23     14.72      1.14
          det_prob[33]      0.14      0.06      0.13      0.04      0.23     13.61      1.15
          det_prob[34]      0.13      0.06      0.13      0.04      0.22     13.54      1.15
          det_prob[35]      0.13      0.06      0.13      0.03      0.21     14.34      1.14
          det_prob[36]      0.13      0.06      0.13      0.03      0.21     14.31      1.14
          det_prob[37]      0.13      0.06      0.12      0.03      0.21     14.76      1.13
          det_prob[38]      0.13      0.06      0.12      0.03      0.21     15.19      1.12
          det_prob[39]      0.13      0.06      0.13      0.03      0.22     14.45      1.13
          det_prob[40]      0.15      0.06      0.14      0.03      0.23     14.96      1.14
          det_prob[41]      0.15      0.07      0.15      0.05      0.26     14.62      1.16
          det_prob[42]      0.16      0.07      0.15      0.04      0.26     14.46      1.15
          det_prob[43]      0.17      0.07      0.16      0.05      0.28     13.81      1.16
          det_prob[44]      0.17      0.07      0.16      0.05      0.28     13.88      1.16
          det_prob[45]      0.18      0.08      0.17      0.05      0.29     13.88      1.15
          det_prob[46]      0.19      0.08      0.18      0.05      0.31     13.29      1.14
          det_prob[47]      0.20      0.09      0.20      0.05      0.34     13.37      1.13
          det_prob[48]      0.22      0.09      0.21      0.06      0.35     12.78      1.12
          det_prob[49]      0.23      0.10      0.22      0.07      0.39     13.00      1.11
          det_prob[50]      0.24      0.11      0.23      0.05      0.39     13.70      1.09
          det_prob[51]      0.25      0.11      0.24      0.07      0.42     14.02      1.09
