
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.98      1.55      0.52      0.00      2.29    946.77      1.00
                    E0      8.87      9.05      6.49      0.04     19.52    135.23      1.00
                    H0      1.55      1.52      1.13      0.01      3.40    947.45      1.01
                    I0      2.96      3.90      1.65      0.01      6.84     96.60      1.01
                 beta0      2.60      1.08      2.67      1.02      4.18      6.41      1.04
  confirmed_dispersion      0.10      0.00      0.10      0.10      0.11    998.67      1.00
      death_dispersion      0.48      0.04      0.48      0.42      0.54    853.82      1.00
            death_prob      0.02      0.00      0.02      0.02      0.02     24.86      1.00
            death_rate      0.04      0.01      0.04      0.03      0.06     12.43      1.15
           det_prob[0]      0.21      0.06      0.21      0.12      0.31    125.08      1.01
           det_prob[1]      0.20      0.06      0.19      0.11      0.30    110.79      1.01
           det_prob[2]      0.19      0.06      0.18      0.09      0.28     94.89      1.01
           det_prob[3]      0.17      0.06      0.17      0.07      0.26    102.47      1.01
           det_prob[4]      0.16      0.06      0.15      0.07      0.25     81.82      1.01
           det_prob[5]      0.16      0.06      0.15      0.07      0.25     60.12      1.01
           det_prob[6]      0.15      0.06      0.14      0.06      0.23     52.70      1.02
           det_prob[7]      0.14      0.06      0.13      0.06      0.23     43.11      1.02
           det_prob[8]      0.14      0.05      0.13      0.06      0.22     37.82      1.02
           det_prob[9]      0.14      0.05      0.13      0.05      0.20     30.03      1.02
          det_prob[10]      0.13      0.05      0.12      0.06      0.19     29.47      1.03
          det_prob[11]      0.12      0.04      0.11      0.05      0.18     26.50      1.03
          det_prob[12]      0.12      0.04      0.11      0.05      0.18     26.31      1.04
          det_prob[13]      0.11      0.04      0.11      0.05      0.17     26.98      1.04
          det_prob[14]      0.11      0.04      0.11      0.05      0.17     28.70      1.04
          det_prob[15]      0.11      0.04      0.11      0.05      0.17     27.04      1.05
          det_prob[16]      0.11      0.03      0.11      0.05      0.16     27.93      1.06
          det_prob[17]      0.11      0.03      0.11      0.06      0.16     25.32      1.06
          det_prob[18]      0.11      0.03      0.10      0.06      0.16     28.38      1.07
          det_prob[19]      0.11      0.03      0.10      0.05      0.15     25.46      1.08
          det_prob[20]      0.11      0.03      0.10      0.05      0.16     22.75      1.09
          det_prob[21]      0.11      0.03      0.10      0.05      0.16     30.40      1.08
          det_prob[22]      0.11      0.04      0.11      0.06      0.17     28.59      1.08
          det_prob[23]      0.11      0.04      0.11      0.06      0.17     31.04      1.08
          det_prob[24]      0.11      0.04      0.11      0.06      0.17     33.62      1.08
          det_prob[25]      0.11      0.04      0.11      0.06      0.17     33.49      1.09
          det_prob[26]      0.12      0.04      0.11      0.06      0.17     43.61      1.08
          det_prob[27]      0.12      0.04      0.12      0.06      0.17     37.51      1.08
          det_prob[28]      0.12      0.04      0.12      0.07      0.18     38.41      1.08
          det_prob[29]      0.12      0.04      0.12      0.06      0.18     35.27      1.07
          det_prob[30]      0.12      0.04      0.12      0.07      0.19     28.00      1.09
          det_prob[31]      0.12      0.04      0.12      0.06      0.18     25.22      1.08
          det_prob[32]      0.12      0.04      0.12      0.06      0.18     25.04      1.08
          det_prob[33]      0.12      0.04      0.11      0.06      0.18     26.19      1.09
          det_prob[34]      0.12      0.04      0.12      0.05      0.18     26.03      1.07
          det_prob[35]      0.12      0.04      0.12      0.07      0.19     28.00      1.07
          det_prob[36]      0.12      0.04      0.12      0.06      0.18     32.06      1.06
