
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.77      0.94      0.48      0.00      1.84   1333.90      1.00
                    E0     16.35     16.00     11.90      0.06     35.86     63.80      1.00
                    H0      1.37      1.38      1.00      0.00      2.87   1062.46      1.00
                    I0      6.13      8.72      3.48      0.03     14.62     70.74      1.01
                 beta0      1.79      0.94      1.81      0.47      3.01      6.58      1.01
  confirmed_dispersion      0.44      0.06      0.44      0.35      0.54    657.89      1.00
      death_dispersion      0.32      0.03      0.32      0.27      0.37    746.20      1.00
            death_prob      0.02      0.00      0.02      0.01      0.02     49.33      1.01
            death_rate      0.04      0.01      0.04      0.03      0.06     39.52      1.03
           det_prob[0]      0.27      0.07      0.26      0.16      0.37    110.68      1.02
           det_prob[1]      0.26      0.07      0.26      0.15      0.39    100.58      1.02
           det_prob[2]      0.26      0.08      0.25      0.14      0.38     85.21      1.02
           det_prob[3]      0.26      0.08      0.25      0.13      0.39     80.70      1.02
           det_prob[4]      0.26      0.09      0.25      0.13      0.40     55.01      1.03
           det_prob[5]      0.26      0.09      0.25      0.12      0.40     39.76      1.03
           det_prob[6]      0.26      0.09      0.25      0.11      0.39     32.08      1.04
           det_prob[7]      0.26      0.09      0.25      0.12      0.40     25.10      1.05
           det_prob[8]      0.26      0.09      0.25      0.11      0.40     21.15      1.05
           det_prob[9]      0.26      0.09      0.24      0.12      0.40     18.95      1.06
          det_prob[10]      0.26      0.10      0.24      0.10      0.39     16.61      1.07
          det_prob[11]      0.26      0.10      0.25      0.12      0.42     16.36      1.07
          det_prob[12]      0.27      0.10      0.25      0.11      0.40     15.85      1.08
          det_prob[13]      0.27      0.10      0.26      0.12      0.42     15.11      1.09
          det_prob[14]      0.28      0.10      0.26      0.13      0.43     14.14      1.10
          det_prob[15]      0.28      0.10      0.27      0.13      0.44     13.71      1.10
          det_prob[16]      0.29      0.10      0.27      0.14      0.45     13.49      1.11
          det_prob[17]      0.29      0.10      0.28      0.14      0.46     14.02      1.13
          det_prob[18]      0.30      0.11      0.28      0.13      0.47     13.46      1.13
          det_prob[19]      0.30      0.11      0.28      0.15      0.48     13.68      1.14
          det_prob[20]      0.31      0.11      0.29      0.13      0.48     12.30      1.16
          det_prob[21]      0.32      0.11      0.29      0.14      0.50     13.30      1.15
          det_prob[22]      0.32      0.12      0.31      0.15      0.52     14.16      1.14
          det_prob[23]      0.33      0.12      0.31      0.17      0.56     13.21      1.15
          det_prob[24]      0.34      0.13      0.32      0.16      0.55     12.78      1.16
          det_prob[25]      0.36      0.13      0.33      0.16      0.57     13.66      1.16
          det_prob[26]      0.38      0.13      0.35      0.19      0.59     14.44      1.14
          det_prob[27]      0.39      0.13      0.37      0.20      0.61     13.96      1.14
          det_prob[28]      0.40      0.13      0.38      0.19      0.61     14.00      1.14
          det_prob[29]      0.41      0.14      0.39      0.22      0.65     14.26      1.13
          det_prob[30]      0.43      0.14      0.41      0.23      0.67     13.41      1.13
          det_prob[31]      0.46      0.14      0.43      0.24      0.69     14.14      1.13
          det_prob[32]      0.48      0.14      0.45      0.27      0.72     14.30      1.10
          det_prob[33]      0.50      0.14      0.48      0.31      0.77     14.87      1.10
          det_prob[34]      0.52      0.14      0.51      0.33      0.79     15.99      1.10
          det_prob[35]      0.55      0.14      0.54      0.32      0.76     16.86      1.08
          det_prob[36]      0.57      0.14      0.56      0.37      0.83     17.41      1.07
          det_prob[37]      0.59      0.14      0.58      0.39      0.84     18.26      1.07
          det_prob[38]      0.61      0.14      0.61      0.41      0.85     19.49      1.07
          det_prob[39]      0.62      0.14      0.63      0.40      0.84     20.10      1.05
          det_prob[40]      0.64      0.14      0.64      0.42      0.86     20.78      1.04
          det_prob[41]      0.65      0.14      0.66      0.45      0.88     22.92      1.03
          det_prob[42]      0.67      0.13      0.68      0.48      0.89     22.97      1.03
          det_prob[43]      0.69      0.13      0.70      0.49      0.90     24.91      1.03
          det_prob[44]      0.71      0.12      0.71      0.49      0.90     26.42      1.02
          det_prob[45]      0.72      0.12      0.73      0.54      0.91     28.38      1.02
          det_prob[46]      0.73      0.12      0.75      0.55      0.91     28.26      1.01
          det_prob[47]      0.74      0.11      0.76      0.58      0.93     29.51      1.01
          det_prob[48]      0.76      0.11      0.77      0.59      0.93     29.73      1.01
          det_prob[49]      0.77      0.11      0.78      0.62      0.94     30.63      1.01
          det_prob[50]      0.78      0.10      0.79      0.62      0.95     30.37      1.01
          det_prob[51]      0.79      0.10      0.80      0.63      0.95     30.35      1.01
          det_prob[52]      0.79      0.10      0.81      0.63      0.95     33.92      1.00
          det_prob[53]      0.80      0.10      0.81      0.64      0.96     35.17      1.00
          det_prob[54]      0.80      0.10      0.82      0.64      0.95     34.88      1.00
          det_prob[55]      0.81      0.10      0.82      0.66      0.96     35.28      1.00
          det_prob[56]      0.81      0.10      0.83      0.68      0.96     36.67      1.00
          det_prob[57]      0.82      0.09      0.84      0.69      0.96     39.68      1.00
          det_prob[58]      0.82      0.09      0.84      0.69      0.96     38.86      1.00
          det_prob[59]      0.82      0.09      0.84      0.70      0.96     42.32      1.00
          det_prob[60]      0.82      0.10      0.85      0.70      0.97     45.35      1.00
          det_prob[61]      0.82      0.10      0.84      0.68      0.96     48.92      1.00
          det_prob[62]      0.83      0.10      0.85      0.68      0.96     51.30      1.00
          det_prob[63]      0.83      0.10      0.85      0.69      0.97     51.63      1.00
          det_prob[64]      0.83      0.10      0.85      0.68      0.96     52.00      1.00
          det_prob[65]      0.84      0.10      0.86      0.70      0.97     51.14      1.00
          det_prob[66]      0.84      0.10      0.86      0.70      0.97     49.50      1.00
          det_prob[67]      0.84      0.10      0.86      0.71      0.97     49.87      1.00
          det_prob[68]      0.84      0.09      0.86      0.70      0.97     48.64      1.00
          det_prob[69]      0.84      0.09      0.86      0.70      0.97     48.75      1.00
          det_prob[70]      0.85      0.09      0.86      0.72      0.97     48.13      1.00
          det_prob[71]      0.85      0.09      0.87      0.72      0.98     47.91      1.00
          det_prob[72]      0.85      0.09      0.87      0.73      0.98     48.29      1.00
          det_prob[73]      0.85      0.09      0.87      0.73      0.98     49.45      1.00
          det_prob[74]      0.86      0.09      0.87      0.73      0.98     50.90      1.00
          det_prob[75]      0.86      0.09      0.87      0.73      0.98     49.36      1.01
          det_prob[76]      0.86      0.09      0.88      0.73      0.98     49.26      1.01
          det_prob[77]      0.86      0.09      0.88      0.73      0.99     47.58      1.01
          det_prob[78]      0.86      0.09      0.88      0.74      0.99     48.94      1.01
          det_prob[79]      0.87      0.09      0.89      0.74      0.99     50.46      1.01
          det_prob[80]      0.87      0.09      0.89      0.74      0.99     50.05      1.01
          det_prob[81]      0.87      0.09      0.89      0.75      0.99     50.10      1.01
          det_prob[82]      0.87      0.09      0.89      0.75      0.99     49.18      1.01
          det_prob[83]      0.87      0.09      0.89      0.75      0.99     48.45      1.01
          det_prob[84]      0.87      0.09      0.89      0.75      0.99     46.23      1.01
          det_prob[85]      0.88      0.09      0.90      0.75      0.99     44.01      1.02
          det_prob[86]      0.88      0.09      0.90      0.75      0.99     43.90      1.02
          det_prob[87]      0.88      0.09      0.90      0.77      0.99     43.29      1.02
          det_prob[88]      0.88      0.08      0.90      0.77      0.99     44.08      1.02
          det_prob[89]      0.89      0.08      0.91      0.77      0.99     42.44      1.02
          det_prob[90]      0.89      0.08      0.91      0.78      1.00     40.39      1.02
          det_prob[91]      0.89      0.08      0.91      0.78      0.99     40.86      1.02
          det_prob[92]      0.90      0.08      0.92      0.78      1.00     39.50      1.03
          det_prob[93]      0.90      0.08      0.92      0.78      1.00     35.69      1.03
          det_prob[94]      0.90      0.08      0.92      0.78      1.00     36.61      1.03
          det_prob[95]      0.90      0.08      0.92      0.79      1.00     35.67      1.03
          det_prob[96]      0.90      0.08      0.93      0.79      1.00     34.65      1.03
          det_prob[97]      0.91      0.08      0.93      0.80      1.00     34.20      1.03
          det_prob[98]      0.91      0.08      0.93      0.80      1.00     32.66      1.03
          det_prob[99]      0.91      0.08      0.93      0.80      1.00     31.78      1.03
         det_prob[100]      0.91      0.08      0.94      0.80      1.00     30.92      1.03
         det_prob[101]      0.92      0.07      0.94      0.82      1.00     31.57      1.03
         det_prob[102]      0.92      0.07      0.94      0.82      1.00     30.73      1.03
         det_prob[103]      0.92      0.07      0.94      0.83      1.00     29.95      1.03
         det_prob[104]      0.92      0.07      0.94      0.83      1.00     31.08      1.02
         det_prob[105]      0.92      0.07      0.95      0.83      1.00     29.54      1.02
         det_prob[106]      0.93      0.07      0.95      0.84      1.00     29.28      1.02
         det_prob[107]      0.93      0.07      0.95      0.84      1.00     28.90      1.02
         det_prob[108]      0.93      0.07      0.95      0.85      1.00     28.12      1.02
         det_prob[109]      0.93      0.07      0.95      0.85      1.00     28.09      1.02
         det_prob[110]      0.93      0.06      0.95      0.85      1.00     27.19      1.02
         det_prob[111]      0.93      0.06      0.95      0.86      1.00     27.12      1.02
         det_prob[112]      0.94      0.06      0.95      0.86      1.00     25.96      1.02
         det_prob[113]      0.94      0.06      0.96      0.86      1.00     25.96      1.01
         det_prob[114]      0.94      0.06      0.96      0.87      1.00     26.15      1.01
         det_prob[115]      0.94      0.06      0.96      0.87      1.00     25.33      1.01
         det_prob[116]      0.94      0.06      0.96      0.87      1.00     24.81      1.01
         det_prob[117]      0.94      0.05      0.96      0.87      1.00     24.15      1.01
         det_prob[118]      0.94      0.05      0.96      0.87      1.00     23.28      1.01
         det_prob[119]      0.95      0.05      0.96      0.87      1.00     22.73      1.01
         det_prob[120]      0.95      0.05      0.96      0.88      1.00     22.50      1.01
         det_prob[121]      0.95      0.05      0.96      0.88      1.00     22.40      1.01
         det_prob[122]      0.95      0.05      0.96      0.88      1.00     21.85      1.01
         det_prob[123]      0.95      0.05      0.97      0.88      1.00     21.32      1.01
         det_prob[124]      0.95      0.05      0.97      0.88      1.00     21.46      1.01
         det_prob[125]      0.95      0.05      0.97      0.88      1.00     21.08      1.01
         det_prob[126]      0.95      0.05      0.97      0.88      1.00     19.93      1.01
         det_prob[127]      0.95      0.04      0.97      0.89      1.00     19.85      1.00
         det_prob[128]      0.95      0.04      0.97      0.89      1.00     19.88      1.00
         det_prob[129]      0.95      0.04      0.97      0.89      1.00     19.17      1.00
         det_prob[130]      0.95      0.04      0.97      0.89      1.00     18.73      1.00
         det_prob[131]      0.95      0.04      0.97      0.89      1.00     18.86      1.00
         det_prob[132]      0.95      0.04      0.97      0.89      1.00     18.32      1.00
         det_prob[133]      0.96      0.04      0.97      0.89      1.00     18.51      1.00
         det_prob[134]      0.96      0.04      0.97      0.90      1.00     19.09      1.00
         det_prob[135]      0.96      0.04      0.97      0.90      1.00     18.57      1.00
         det_prob[136]      0.96      0.04      0.97      0.90      1.00     18.54      1.00
         det_prob[137]      0.96      0.05      0.97      0.90      1.00     18.57      1.00
         det_prob[138]      0.96      0.05      0.97      0.90      1.00     18.50      1.00
         det_prob[139]      0.96      0.05      0.97      0.90      1.00     18.58      1.00
         det_prob[140]      0.96      0.05      0.97      0.90      1.00     19.15      1.00
         det_prob[141]      0.96      0.05      0.97      0.90      1.00     18.89      1.00
         det_prob[142]      0.96      0.05      0.97      0.90      1.00     19.11      1.00
