
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.68      0.85      0.41      0.00      1.60    790.43      1.00
                    E0     24.68     23.85     18.77      0.11     52.59     82.85      1.01
                    H0      2.24      1.97      1.68      0.01      4.84    272.62      1.01
                    I0      7.31      8.90      4.45      0.01     17.66    125.44      1.00
                 beta0      2.08      0.91      2.22      0.81      3.30      4.95      1.02
  confirmed_dispersion      0.11      0.01      0.11      0.10      0.12    484.50      1.00
      death_dispersion      0.24      0.02      0.24      0.20      0.28    365.68      1.00
            death_prob      0.02      0.00      0.02      0.01      0.02     55.54      1.01
            death_rate      0.05      0.01      0.05      0.04      0.06      9.15      1.22
           det_prob[0]      0.18      0.05      0.17      0.09      0.26     54.39      1.00
           det_prob[1]      0.16      0.05      0.16      0.08      0.24     46.49      1.01
           det_prob[2]      0.14      0.05      0.14      0.06      0.22     39.87      1.01
           det_prob[3]      0.13      0.05      0.12      0.05      0.20     37.25      1.01
           det_prob[4]      0.12      0.05      0.11      0.05      0.19     31.09      1.01
           det_prob[5]      0.11      0.04      0.10      0.04      0.17     26.63      1.01
           det_prob[6]      0.10      0.04      0.09      0.04      0.15     26.29      1.01
           det_prob[7]      0.08      0.04      0.08      0.04      0.14     24.64      1.01
           det_prob[8]      0.07      0.03      0.07      0.03      0.12     22.49      1.02
           det_prob[9]      0.07      0.03      0.06      0.03      0.11     20.31      1.03
          det_prob[10]      0.06      0.02      0.06      0.03      0.10     18.99      1.03
          det_prob[11]      0.06      0.02      0.06      0.03      0.09     19.03      1.04
          det_prob[12]      0.06      0.02      0.05      0.02      0.09     17.21      1.05
          det_prob[13]      0.06      0.02      0.06      0.03      0.09     17.89      1.05
          det_prob[14]      0.06      0.02      0.06      0.03      0.09     15.50      1.08
          det_prob[15]      0.07      0.02      0.06      0.03      0.09     19.39      1.07
          det_prob[16]      0.07      0.02      0.07      0.04      0.10     21.74      1.08
          det_prob[17]      0.07      0.02      0.07      0.04      0.11     23.91      1.08
          det_prob[18]      0.08      0.02      0.07      0.04      0.10     19.03      1.11
          det_prob[19]      0.08      0.02      0.08      0.05      0.11     17.00      1.13
          det_prob[20]      0.08      0.02      0.08      0.05      0.12     16.63      1.14
          det_prob[21]      0.09      0.02      0.09      0.05      0.13     16.76      1.13
          det_prob[22]      0.10      0.03      0.09      0.06      0.13     17.07      1.14
          det_prob[23]      0.10      0.03      0.09      0.05      0.13     17.55      1.13
          det_prob[24]      0.10      0.03      0.09      0.05      0.14     25.88      1.12
          det_prob[25]      0.10      0.03      0.10      0.05      0.15     24.89      1.13
          det_prob[26]      0.10      0.03      0.10      0.06      0.15     26.58      1.13
          det_prob[27]      0.11      0.03      0.10      0.06      0.15     22.48      1.14
          det_prob[28]      0.11      0.03      0.10      0.06      0.16     21.84      1.13
          det_prob[29]      0.11      0.03      0.11      0.07      0.16     23.20      1.12
          det_prob[30]      0.11      0.03      0.11      0.07      0.16     20.98      1.10
          det_prob[31]      0.12      0.03      0.11      0.07      0.17     22.99      1.09
          det_prob[32]      0.12      0.03      0.12      0.07      0.17     23.57      1.09
          det_prob[33]      0.12      0.03      0.12      0.07      0.17     23.10      1.09
          det_prob[34]      0.12      0.03      0.11      0.07      0.17     28.49      1.09
          det_prob[35]      0.12      0.03      0.11      0.07      0.17     39.46      1.08
          det_prob[36]      0.12      0.03      0.12      0.07      0.18     46.07      1.06
          det_prob[37]      0.12      0.03      0.12      0.08      0.18     45.03      1.06
          det_prob[38]      0.12      0.03      0.12      0.07      0.18     44.39      1.04
          det_prob[39]      0.12      0.03      0.12      0.07      0.17     43.76      1.03
          det_prob[40]      0.12      0.03      0.12      0.06      0.17     51.92      1.02
          det_prob[41]      0.13      0.03      0.13      0.07      0.18     49.55      1.01
          det_prob[42]      0.14      0.03      0.14      0.09      0.19     53.79      1.00
          det_prob[43]      0.14      0.03      0.14      0.09      0.19     55.75      1.00
          det_prob[44]      0.15      0.04      0.14      0.09      0.20     52.01      1.01
          det_prob[45]      0.15      0.04      0.15      0.10      0.21     58.25      1.01
          det_prob[46]      0.15      0.04      0.15      0.09      0.20     59.61      1.01
          det_prob[47]      0.15      0.04      0.15      0.09      0.21     66.01      1.01
          det_prob[48]      0.16      0.04      0.16      0.10      0.22     62.84      1.01
          det_prob[49]      0.17      0.04      0.17      0.11      0.23     59.78      1.01
          det_prob[50]      0.19      0.04      0.19      0.12      0.26     49.43      1.02
          det_prob[51]      0.21      0.05      0.20      0.13      0.28     48.04      1.01
          det_prob[52]      0.22      0.06      0.21      0.14      0.30     48.51      1.02
          det_prob[53]      0.24      0.06      0.23      0.15      0.33     47.32      1.04
          det_prob[54]      0.25      0.06      0.24      0.15      0.33     42.45      1.06
          det_prob[55]      0.25      0.06      0.25      0.16      0.34     49.79      1.08
          det_prob[56]      0.27      0.06      0.26      0.17      0.36     57.23      1.10
          det_prob[57]      0.28      0.07      0.27      0.17      0.37     57.59      1.10
          det_prob[58]      0.29      0.07      0.28      0.18      0.39     47.41      1.11
          det_prob[59]      0.30      0.07      0.29      0.19      0.40     51.91      1.12
          det_prob[60]      0.31      0.07      0.31      0.20      0.43     40.22      1.14
