
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.79      0.92      0.49      0.00      1.82   1441.88      1.00
                    E0      6.88      8.05      4.33      0.00     16.52     96.97      1.05
                    H0      1.42      1.40      0.94      0.00      3.25   1625.66      1.00
                    I0      3.44      5.41      1.74      0.00      7.92     85.88      1.07
                 beta0      1.49      0.73      1.43      0.41      2.40      5.35      1.76
  confirmed_dispersion      0.40      0.06      0.39      0.30      0.50   1607.05      1.00
      death_dispersion      0.34      0.03      0.34      0.28      0.39   2552.31      1.00
            death_prob      0.03      0.00      0.03      0.02      0.04     44.50      1.00
            death_rate      0.05      0.01      0.05      0.03      0.06    244.96      1.01
           det_prob[0]      0.26      0.07      0.25      0.15      0.36    182.29      1.00
           det_prob[1]      0.25      0.07      0.25      0.12      0.36    174.13      1.00
           det_prob[2]      0.24      0.08      0.23      0.12      0.36    157.07      1.01
           det_prob[3]      0.24      0.09      0.23      0.09      0.36    140.14      1.01
           det_prob[4]      0.23      0.09      0.22      0.09      0.36    134.57      1.01
           det_prob[5]      0.23      0.09      0.21      0.08      0.36    122.87      1.01
           det_prob[6]      0.23      0.09      0.21      0.08      0.37    116.18      1.01
           det_prob[7]      0.22      0.09      0.21      0.07      0.36    111.89      1.01
           det_prob[8]      0.23      0.09      0.21      0.08      0.36    104.88      1.01
           det_prob[9]      0.22      0.10      0.21      0.07      0.36     99.65      1.01
          det_prob[10]      0.22      0.10      0.21      0.07      0.36     99.51      1.01
          det_prob[11]      0.22      0.10      0.21      0.08      0.37    100.75      1.01
          det_prob[12]      0.23      0.10      0.21      0.08      0.37     96.54      1.01
          det_prob[13]      0.23      0.10      0.22      0.09      0.37     94.06      1.01
          det_prob[14]      0.23      0.10      0.22      0.08      0.37     89.89      1.02
          det_prob[15]      0.24      0.10      0.23      0.10      0.39     90.87      1.02
          det_prob[16]      0.24      0.10      0.23      0.08      0.37     93.26      1.01
          det_prob[17]      0.24      0.10      0.23      0.08      0.38     93.54      1.01
          det_prob[18]      0.24      0.10      0.23      0.08      0.38     92.50      1.01
          det_prob[19]      0.24      0.10      0.22      0.08      0.37     88.52      1.01
          det_prob[20]      0.24      0.10      0.22      0.09      0.37     87.10      1.01
          det_prob[21]      0.24      0.10      0.22      0.09      0.37     89.95      1.01
          det_prob[22]      0.24      0.10      0.22      0.08      0.37     89.61      1.01
          det_prob[23]      0.24      0.10      0.22      0.09      0.38     86.73      1.02
          det_prob[24]      0.24      0.10      0.22      0.08      0.37     85.18      1.02
          det_prob[25]      0.24      0.10      0.22      0.08      0.38     81.64      1.02
          det_prob[26]      0.24      0.10      0.23      0.11      0.40     80.14      1.02
          det_prob[27]      0.25      0.10      0.23      0.09      0.40     83.58      1.02
          det_prob[28]      0.26      0.11      0.24      0.10      0.41     88.03      1.02
          det_prob[29]      0.26      0.11      0.24      0.09      0.42     82.44      1.02
          det_prob[30]      0.27      0.11      0.25      0.09      0.42     78.24      1.02
          det_prob[31]      0.28      0.11      0.26      0.11      0.45     78.84      1.02
          det_prob[32]      0.28      0.11      0.26      0.12      0.46     78.81      1.02
