
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.89      1.46      0.53      0.00      2.08   1179.03      1.00
                    E0     38.34     43.01     25.32      0.00     87.52    143.99      1.03
                    H0      2.49      2.27      1.82      0.00      5.68   1388.85      1.00
                    I0     18.18     28.31      9.07      0.00     45.26     77.77      1.06
                 beta0      1.30      0.68      1.22      0.35      2.17      8.22      1.51
  confirmed_dispersion      0.80      0.08      0.79      0.66      0.92   1485.57      1.00
      death_dispersion      0.40      0.05      0.40      0.33      0.48   2088.71      1.00
            death_prob      0.02      0.00      0.02      0.01      0.02     43.17      1.00
            death_rate      0.04      0.01      0.04      0.03      0.06    230.21      1.00
           det_prob[0]      0.22      0.06      0.22      0.12      0.32    180.05      1.00
           det_prob[1]      0.21      0.07      0.20      0.10      0.32    189.40      1.01
           det_prob[2]      0.19      0.07      0.18      0.08      0.29    166.41      1.01
           det_prob[3]      0.18      0.07      0.17      0.07      0.28    141.82      1.01
           det_prob[4]      0.17      0.07      0.16      0.07      0.28    133.37      1.01
           det_prob[5]      0.16      0.07      0.15      0.05      0.26    128.99      1.01
           det_prob[6]      0.15      0.07      0.14      0.05      0.26    120.32      1.01
           det_prob[7]      0.15      0.07      0.13      0.05      0.24    112.34      1.01
           det_prob[8]      0.14      0.07      0.13      0.04      0.23    107.98      1.01
           det_prob[9]      0.13      0.07      0.12      0.04      0.22    102.79      1.01
          det_prob[10]      0.13      0.06      0.11      0.03      0.21     98.62      1.00
          det_prob[11]      0.12      0.06      0.11      0.03      0.21    103.72      1.01
          det_prob[12]      0.12      0.06      0.10      0.03      0.19    100.32      1.01
          det_prob[13]      0.11      0.06      0.10      0.03      0.19     95.75      1.01
          det_prob[14]      0.11      0.06      0.10      0.03      0.18     94.38      1.01
          det_prob[15]      0.11      0.06      0.10      0.03      0.19     94.47      1.01
          det_prob[16]      0.11      0.06      0.10      0.03      0.19     92.81      1.01
          det_prob[17]      0.11      0.06      0.09      0.03      0.19     94.18      1.01
          det_prob[18]      0.10      0.06      0.09      0.03      0.17     92.09      1.01
          det_prob[19]      0.10      0.06      0.09      0.03      0.17     89.03      1.01
          det_prob[20]      0.10      0.06      0.09      0.03      0.17     88.78      1.01
          det_prob[21]      0.10      0.06      0.09      0.03      0.17     90.28      1.01
          det_prob[22]      0.10      0.06      0.09      0.03      0.17     86.96      1.01
          det_prob[23]      0.10      0.06      0.09      0.03      0.17     82.43      1.02
