
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      0.60      0.62      0.41      0.00      1.43   1319.53      1.00
                    E0     13.63     15.06      8.92      0.01     31.69     66.14      1.07
                    H0      1.11      1.05      0.79      0.00      2.63   1517.24      1.00
                    I0      4.90      6.22      2.72      0.01     11.25     63.86      1.09
                 beta0      2.10      0.96      2.07      0.69      3.35      4.25      1.86
  confirmed_dispersion      0.20      0.04      0.19      0.14      0.26   1429.24      1.00
      death_dispersion      0.10      0.00      0.10      0.10      0.11   1762.93      1.00
            death_prob      0.01      0.00      0.01      0.01      0.01     43.89      1.00
            death_rate      0.07      0.01      0.07      0.05      0.09    191.76      1.00
           det_prob[0]      0.20      0.06      0.20      0.11      0.29    144.04      1.00
           det_prob[1]      0.19      0.06      0.18      0.09      0.28    138.03      1.00
           det_prob[2]      0.17      0.06      0.16      0.08      0.26    113.21      1.00
           det_prob[3]      0.16      0.06      0.15      0.06      0.24    103.31      1.00
           det_prob[4]      0.15      0.06      0.14      0.05      0.23     94.05      1.01
           det_prob[5]      0.14      0.06      0.13      0.05      0.22     95.67      1.00
           det_prob[6]      0.13      0.05      0.12      0.05      0.21     94.26      1.01
           det_prob[7]      0.12      0.05      0.11      0.05      0.20     89.22      1.01
           det_prob[8]      0.12      0.05      0.11      0.04      0.18     93.99      1.01
           det_prob[9]      0.11      0.04      0.10      0.04      0.17     98.73      1.01
          det_prob[10]      0.10      0.04      0.09      0.04      0.15    101.04      1.00
          det_prob[11]      0.09      0.04      0.09      0.04      0.15    101.55      1.00
          det_prob[12]      0.09      0.03      0.09      0.04      0.14    107.23      1.00
          det_prob[13]      0.09      0.03      0.08      0.04      0.14     99.74      1.00
          det_prob[14]      0.08      0.03      0.08      0.04      0.13    111.68      1.00
          det_prob[15]      0.08      0.03      0.07      0.04      0.12    118.91      1.00
          det_prob[16]      0.07      0.03      0.07      0.04      0.11    137.10      1.00
          det_prob[17]      0.07      0.02      0.07      0.03      0.11    135.26      1.00
          det_prob[18]      0.06      0.02      0.06      0.03      0.10    152.48      1.00
          det_prob[19]      0.06      0.02      0.06      0.03      0.09    170.71      1.00
          det_prob[20]      0.06      0.02      0.06      0.03      0.09    159.30      1.00
          det_prob[21]      0.06      0.02      0.06      0.03      0.09    151.05      1.00
          det_prob[22]      0.06      0.02      0.06      0.03      0.09    170.13      1.00
          det_prob[23]      0.06      0.02      0.06      0.03      0.09    160.66      1.00
          det_prob[24]      0.06      0.02      0.06      0.03      0.09    181.82      1.00
          det_prob[25]      0.07      0.02      0.06      0.03      0.10    173.09      1.00
          det_prob[26]      0.07      0.02      0.07      0.04      0.11    146.49      1.00
          det_prob[27]      0.08      0.02      0.07      0.04      0.11    142.63      1.00
          det_prob[28]      0.08      0.03      0.08      0.04      0.12    130.67      1.00
          det_prob[29]      0.09      0.03      0.08      0.04      0.12    136.16      1.01
          det_prob[30]      0.09      0.03      0.08      0.05      0.13    157.44      1.01
          det_prob[31]      0.10      0.03      0.09      0.05      0.15    148.92      1.00
          det_prob[32]      0.10      0.03      0.10      0.05      0.15    134.87      1.00
          det_prob[33]      0.11      0.03      0.10      0.05      0.15    140.53      1.00
          det_prob[34]      0.11      0.04      0.11      0.06      0.17    122.35      1.00
          det_prob[35]      0.12      0.04      0.11      0.06      0.17    122.45      1.00
          det_prob[36]      0.12      0.04      0.12      0.07      0.18    127.73      1.00
          det_prob[37]      0.13      0.04      0.12      0.06      0.19    122.90      1.00
          det_prob[38]      0.13      0.04      0.13      0.07      0.20    105.40      1.00
          det_prob[39]      0.14      0.04      0.13      0.07      0.20    107.14      1.00
          det_prob[40]      0.14      0.05      0.14      0.08      0.22    102.32      1.00
          det_prob[41]      0.15      0.05      0.14      0.08      0.22    104.07      1.00
          det_prob[42]      0.16      0.05      0.15      0.09      0.23    109.41      1.00
          det_prob[43]      0.17      0.05      0.16      0.09      0.24    112.27      1.00
          det_prob[44]      0.17      0.05      0.17      0.09      0.25    117.96      1.01
          det_prob[45]      0.18      0.05      0.17      0.10      0.27    104.19      1.01
          det_prob[46]      0.19      0.06      0.18      0.10      0.27     96.86      1.01
          det_prob[47]      0.20      0.06      0.19      0.10      0.28     96.36      1.01
          det_prob[48]      0.21      0.06      0.20      0.10      0.30    107.22      1.01
          det_prob[49]      0.22      0.06      0.21      0.12      0.32     96.46      1.01
          det_prob[50]      0.23      0.06      0.22      0.13      0.33     90.30      1.01
          det_prob[51]      0.24      0.07      0.23      0.14      0.35     90.98      1.01
          det_prob[52]      0.24      0.07      0.23      0.13      0.34     86.06      1.01
          det_prob[53]      0.24      0.07      0.24      0.13      0.36     88.33      1.00
          det_prob[54]      0.25      0.07      0.24      0.14      0.38     86.75      1.00
          det_prob[55]      0.26      0.07      0.25      0.14      0.38     83.36      1.00
          det_prob[56]      0.27      0.08      0.26      0.15      0.40     88.00      1.00
          det_prob[57]      0.28      0.08      0.28      0.15      0.41     83.52      1.00
          det_prob[58]      0.29      0.08      0.28      0.16      0.41     85.94      1.00
          det_prob[59]      0.29      0.08      0.28      0.16      0.42     92.43      1.00
          det_prob[60]      0.29      0.08      0.28      0.16      0.41     92.26      1.00
          det_prob[61]      0.29      0.08      0.28      0.16      0.41    102.88      1.00
          det_prob[62]      0.29      0.08      0.28      0.15      0.41    107.92      1.00
          det_prob[63]      0.29      0.08      0.28      0.16      0.41    110.31      1.00
          det_prob[64]      0.29      0.08      0.28      0.16      0.41    112.52      1.00
          det_prob[65]      0.28      0.08      0.28      0.17      0.42    110.65      1.00
          det_prob[66]      0.28      0.08      0.27      0.17      0.41    108.38      1.00
          det_prob[67]      0.28      0.08      0.27      0.16      0.41    113.07      1.00
          det_prob[68]      0.28      0.08      0.27      0.15      0.40    110.24      1.00
          det_prob[69]      0.28      0.08      0.28      0.17      0.42    114.74      1.00
          det_prob[70]      0.30      0.08      0.29      0.17      0.42    119.55      1.00
          det_prob[71]      0.30      0.08      0.30      0.17      0.43    114.86      1.00
          det_prob[72]      0.31      0.08      0.31      0.17      0.43    112.22      1.00
          det_prob[73]      0.31      0.09      0.30      0.17      0.44    128.23      1.00
          det_prob[74]      0.32      0.09      0.31      0.19      0.47    125.24      1.00
          det_prob[75]      0.33      0.09      0.32      0.19      0.48    133.27      1.00
          det_prob[76]      0.35      0.09      0.35      0.20      0.51    135.27      1.00
          det_prob[77]      0.37      0.10      0.36      0.21      0.53    126.17      1.00
          det_prob[78]      0.39      0.10      0.38      0.24      0.56    114.14      1.00
          det_prob[79]      0.41      0.11      0.40      0.23      0.58    110.50      1.00
          det_prob[80]      0.43      0.11      0.41      0.25      0.60    104.65      1.00
          det_prob[81]      0.45      0.11      0.44      0.27      0.65     89.34      1.00
          det_prob[82]      0.47      0.12      0.47      0.27      0.65     69.98      1.00
          det_prob[83]      0.50      0.12      0.50      0.32      0.70     63.67      1.01
          det_prob[84]      0.52      0.12      0.52      0.32      0.71     63.56      1.01
          det_prob[85]      0.55      0.12      0.55      0.35      0.75     61.46      1.01
          det_prob[86]      0.56      0.13      0.57      0.35      0.76     57.67      1.01
          det_prob[87]      0.57      0.13      0.58      0.36      0.78     52.51      1.01
          det_prob[88]      0.59      0.13      0.59      0.38      0.79     49.84      1.01
          det_prob[89]      0.61      0.13      0.61      0.39      0.81     49.05      1.01
          det_prob[90]      0.63      0.13      0.64      0.43      0.85     47.20      1.01
          det_prob[91]      0.65      0.13      0.66      0.42      0.83     44.87      1.02
          det_prob[92]      0.66      0.13      0.67      0.45      0.85     44.82      1.02
          det_prob[93]      0.67      0.13      0.68      0.47      0.88     44.24      1.02
          det_prob[94]      0.68      0.13      0.69      0.48      0.89     44.12      1.02
          det_prob[95]      0.69      0.13      0.71      0.49      0.90     43.92      1.03
          det_prob[96]      0.71      0.13      0.72      0.51      0.91     41.48      1.04
          det_prob[97]      0.72      0.13      0.74      0.53      0.92     40.40      1.04
          det_prob[98]      0.74      0.12      0.75      0.54      0.92     39.04      1.04
          det_prob[99]      0.75      0.12      0.77      0.56      0.93     36.00      1.05
