
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
                    D0      2.74      6.99      0.92      0.00      5.75    798.78      1.00
                    E0     20.86     20.23     14.87      0.01     45.00    115.39      1.04
                    H0      1.30      1.41      0.85      0.00      3.07   1585.62      1.00
                    I0      7.91      9.38      4.76      0.01     20.33    117.35      1.05
                 beta0      1.28      0.69      1.18      0.32      2.10     10.35      1.46
  confirmed_dispersion      0.18      0.04      0.17      0.12      0.23   1117.38      1.00
      death_dispersion      0.89      0.08      0.88      0.74      1.01   1561.90      1.00
            death_prob      0.01      0.00      0.01      0.01      0.01     42.78      1.00
            death_rate      0.04      0.01      0.04      0.03      0.06    110.49      1.04
           det_prob[0]      0.23      0.06      0.23      0.13      0.33    168.41      1.00
           det_prob[1]      0.22      0.07      0.21      0.11      0.32    147.15      1.01
           det_prob[2]      0.21      0.07      0.20      0.10      0.32    140.48      1.01
           det_prob[3]      0.20      0.08      0.19      0.09      0.32    125.54      1.01
           det_prob[4]      0.19      0.08      0.18      0.08      0.32    112.96      1.01
           det_prob[5]      0.18      0.08      0.17      0.07      0.30    109.72      1.01
           det_prob[6]      0.18      0.08      0.17      0.07      0.30    105.19      1.01
           det_prob[7]      0.17      0.08      0.16      0.06      0.29    103.96      1.01
           det_prob[8]      0.16      0.07      0.15      0.05      0.28     94.43      1.01
           det_prob[9]      0.15      0.07      0.14      0.05      0.26     93.93      1.01
          det_prob[10]      0.14      0.07      0.13      0.04      0.24     89.87      1.01
          det_prob[11]      0.13      0.07      0.12      0.04      0.23     87.69      1.01
          det_prob[12]      0.12      0.06      0.11      0.03      0.21     86.58      1.01
          det_prob[13]      0.12      0.06      0.10      0.03      0.19     86.76      1.01
          det_prob[14]      0.11      0.06      0.10      0.03      0.19     84.59      1.01
          det_prob[15]      0.11      0.06      0.10      0.03      0.18     83.00      1.01
          det_prob[16]      0.10      0.05      0.09      0.02      0.17     82.80      1.02
          det_prob[17]      0.10      0.05      0.09      0.02      0.16     81.71      1.01
